hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID,total_guests,total_stay,lead_time_group,Revenue,guest_type,is_loyal,has_changes,is_waiting,season,high_intent,price_per_person
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",0,88,2018,March,11,12,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,28.0,0,Transient,58.0,0,0,Check-Out,2018-03-14,37411,2.0,2,medium_term,116.0,couple,no,0,0,normal,0,29.0
"Leipzig Marriott Hotel Leipzig, Germany",0,6,2018,July,29,11,1,2,2,1.0,0,BB,LBN,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,0,Transient,169.0,0,2,Check-Out,2018-07-14,37412,3.0,3,last_minute,507.0,family/group,no,1,0,peak,1,56.333333333333336
"The House, Barbados Barbados",1,205,2018,May,23,29,2,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,26.0,0,Transient,90.0,0,0,Canceled,2018-01-19,37413,2.0,3,long_term,270.0,couple,no,0,0,normal,0,45.0
"Waves, Barbados Barbados",0,51,2018,November,45,2,1,4,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,88.0,0,2,Check-Out,2018-11-07,37414,2.0,5,medium_term,440.0,couple,no,0,0,normal,1,44.0
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",0,5,2019,July,30,25,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,0,Transient,159.35,0,1,Check-Out,2019-07-28,37415,2.0,3,last_minute,478.04999999999995,couple,no,0,0,peak,0,79.675
"Orlando Airport Courtyard Orlando, FL",0,0,2018,January,3,12,0,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,240.0,0,Transient,86.0,0,0,Check-Out,2018-01-13,37416,2.0,1,last_minute,86.0,couple,no,1,0,normal,0,43.0
"Renaissance Hamburg Hotel Hamburg, Germany",0,0,2018,May,19,6,0,1,2,0.0,0,BB,NLD,Direct,TA/TO,1,0,0,A,A,0,No Deposit,14.0,0,Group,79.0,0,0,Check-Out,2018-05-07,37417,2.0,1,last_minute,79.0,couple,yes,0,0,normal,0,39.5
"Albuquerque Airport Courtyard Albuquerque, NM",0,49,2017,July,29,14,0,5,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,240.0,0,Transient,136.2,0,2,Check-Out,2017-07-19,37418,2.0,5,medium_term,681.0,couple,no,1,0,peak,1,68.1
"Courtyard Las Vegas Convention Center Las Vegas, NV ",1,341,2017,September,39,23,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,2017-07-02,37419,2.0,2,long_term,124.0,couple,no,0,0,normal,0,31.0
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",0,2,2018,July,28,9,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient-Party,184.0,1,0,Check-Out,2018-07-10,37420,2.0,1,last_minute,184.0,couple,no,0,0,peak,0,92.0
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,4,2019,March,10,6,1,0,1,0.0,0,BB,PRT,Offline TA/TO,Direct,1,0,1,A,A,0,No Deposit,8.0,0,Transient,30.0,0,0,Check-Out,2019-03-07,37421,1.0,1,last_minute,30.0,solo,yes,0,0,normal,0,30.0
"W New York – Union Square New York, NY",1,150,2019,June,24,17,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,14.0,0,Transient,120.0,0,0,Canceled,2019-01-18,37422,1.0,5,long_term,600.0,solo,no,0,0,peak,0,120.0
"Las Vegas Marriott Las Vegas, NV ",0,25,2018,December,50,7,1,4,2,0.0,0,BB,JPN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,96.9,0,2,Check-Out,2018-12-12,37423,2.0,5,short_term,484.5,couple,no,0,0,holiday,1,48.45
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,78,2018,April,15,7,0,1,1,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,86.0,0,Transient,72.72,0,0,Check-Out,2018-04-08,37424,1.0,1,medium_term,72.72,solo,no,0,0,normal,0,72.72
"Leipzig Marriott Hotel Leipzig, Germany",1,6,2018,June,25,12,1,0,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,119.0,0,1,Canceled,2018-06-09,37425,1.0,1,last_minute,119.0,solo,no,0,0,peak,0,119.0
"Orlando Airport Courtyard Orlando, FL",0,132,2017,July,30,23,0,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient-Party,90.0,0,0,Check-Out,2017-07-24,37426,2.0,1,long_term,90.0,couple,no,0,0,peak,0,45.0
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",0,55,2018,July,28,7,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,79.0,0,0,Check-Out,2018-07-08,37427,1.0,1,medium_term,79.0,solo,no,0,0,peak,0,79.0
"Heidelberg Marriott Hotel Heidelberg, Germany",1,13,2018,April,18,25,1,3,1,2.0,0,HB,KAZ,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0,Transient,260.5,0,0,Canceled,2018-04-21,37428,3.0,4,short_term,1042.0,family/group,no,0,0,normal,0,86.83333333333333
"Berlin Marriott Hotel Berlin, Germany",1,253,2017,September,37,12,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,96.0,0,Transient,58.95,0,0,Canceled,2017-06-17,37429,2.0,7,long_term,412.65000000000003,couple,no,0,0,normal,0,29.475
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",0,0,2017,October,44,28,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Group,95.1,0,0,Check-Out,2017-10-30,37430,2.0,2,last_minute,190.2,couple,no,0,0,normal,0,47.55
"Heidelberg Marriott Hotel Heidelberg, Germany",1,71,2018,October,42,11,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,0,Transient,72.25,0,0,Canceled,2018-08-17,37431,2.0,3,medium_term,216.75,couple,no,0,0,normal,0,36.125
"Courtyard by Marriott Paris Gare de Lyon Paris, France",0,106,2019,June,25,19,1,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,117.0,0,1,Check-Out,2019-06-23,37432,1.0,4,long_term,468.0,solo,no,0,0,peak,0,117.0
"The House, Barbados Barbados",1,148,2019,May,18,4,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,171.0,0,Transient,95.0,0,0,Canceled,2018-12-07,37433,2.0,2,long_term,190.0,couple,no,0,0,normal,0,47.5
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",1,102,2018,January,4,22,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,9.0,0,Contract,99.0,0,2,Canceled,2017-10-16,37434,2.0,3,long_term,297.0,couple,no,0,0,normal,1,49.5
"Courtyard Las Vegas Convention Center Las Vegas, NV ",0,11,2018,January,5,28,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,7.0,0,Transient,62.83,0,1,Check-Out,2018-01-29,37435,2.0,1,short_term,62.83,couple,no,0,0,normal,0,31.415
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,14,2018,March,12,19,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,0,Transient,29.0,0,0,Canceled,2018-03-05,37436,2.0,1,short_term,29.0,couple,no,0,0,normal,0,14.5
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",0,34,2018,August,33,7,2,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,221.0,0,0,Check-Out,2018-08-11,37437,2.0,4,medium_term,884.0,couple,no,0,0,peak,0,110.5
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",1,68,2019,May,20,14,2,1,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,1,No Deposit,14.0,0,Transient-Party,110.0,0,0,Canceled,2019-05-12,37438,1.0,3,medium_term,330.0,solo,no,1,0,normal,0,110.0
"Greensboro Courtyard Greensboro, NC",0,64,2018,May,21,17,0,2,1,0.0,0,BB,DEU,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,130.0,0,0,Check-Out,2018-05-19,37439,1.0,2,medium_term,260.0,solo,no,0,0,normal,0,130.0
"Chicago O'Hare Courtyard Des Plaines, IL",1,309,2019,June,23,8,2,3,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,298.0,5,Transient,74.0,0,0,Canceled,2019-04-05,37440,1.0,5,long_term,370.0,solo,no,0,1,peak,0,74.0
"Protea Hotel Fire & Ice! by Marriott Johannesburg Melrose Arch Johannesburg, South Africa",0,91,2019,May,20,18,0,1,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,262.0,0,Transient,98.1,0,0,Check-Out,2019-05-19,37441,2.0,1,long_term,98.1,couple,no,0,0,normal,0,49.05
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,1,2018,February,8,16,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,146.0,0,Transient,25.0,1,0,Check-Out,2018-02-17,37442,1.0,1,last_minute,25.0,solo,no,0,0,normal,0,25.0
"Marriott Puerto Vallarta Resort & Spa Puerto Vallarta, Mexico",0,155,2019,April,17,28,2,2,1,0.0,0,BB,DEU,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,0,Transient,99.0,0,1,Check-Out,2019-05-02,37443,1.0,4,long_term,396.0,solo,no,1,0,normal,0,99.0
"Chicago O'Hare Courtyard Des Plaines, IL",0,51,2018,September,38,15,0,2,1,0.0,0,HB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,0,Transient,185.95,0,0,Check-Out,2018-09-17,37444,1.0,2,medium_term,371.9,solo,no,0,0,normal,0,185.95
"Indianapolis Airport Courtyard Indianapolis, IN",0,78,2019,May,22,28,2,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,0,Transient,89.1,0,1,Check-Out,2019-06-01,37445,2.0,4,medium_term,356.4,couple,no,0,0,normal,0,44.55
"Heidelberg Marriott Hotel Heidelberg, Germany",0,116,2019,May,18,2,0,4,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,108.0,0,0,Check-Out,2019-05-06,37446,2.0,4,long_term,432.0,couple,no,0,0,normal,0,54.0
"Orlando International Drive/Convention Center Courtyard Orlando, FL",1,100,2017,October,42,16,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,0,Transient,108.0,0,0,Canceled,2017-09-28,37447,2.0,1,long_term,108.0,couple,no,0,0,normal,0,54.0
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",0,174,2019,July,28,11,0,2,3,1.0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,0,Transient,174.75,0,0,Check-Out,2019-07-13,37448,4.0,2,long_term,349.5,family/group,no,0,0,peak,0,43.6875
"Tamarind, Barbados Barbados",0,0,2018,August,35,25,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,G,0,No Deposit,250.0,0,Transient,229.0,1,0,Check-Out,2018-08-26,37449,2.0,1,last_minute,229.0,couple,no,0,0,peak,0,114.5
"Tamarind, Barbados Barbados",1,489,2018,November,46,10,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,0,Transient,51.4,0,0,Canceled,2017-10-21,37450,1.0,1,long_term,51.4,solo,no,0,0,normal,0,51.4
"Frankfurt Marriott Hotel Frankfurt, Germany",1,72,2018,December,52,19,1,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,74.8,0,0,Canceled,2018-11-02,37451,2.0,4,medium_term,299.2,couple,no,0,0,holiday,0,37.4
"Waves, Barbados Barbados",1,33,2017,December,50,9,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,44.0,0,Transient,110.0,0,0,Canceled,2017-11-16,37452,2.0,2,medium_term,220.0,couple,no,0,0,holiday,0,55.0
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,12,2018,September,40,25,2,0,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,164.0,0,0,Canceled,2018-09-14,37453,2.0,2,short_term,328.0,couple,no,0,0,normal,0,82.0
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",0,189,2018,August,33,8,1,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,22.0,0,Transient-Party,72.25,0,0,Check-Out,2018-08-12,37454,2.0,4,long_term,289.0,couple,no,0,0,peak,0,36.125
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",0,212,2019,August,32,11,2,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,0,Transient,203.67,0,4,Check-Out,2019-08-17,37455,2.0,6,long_term,1222.02,couple,no,1,0,peak,1,101.835
"Turtle Beach, Barbados Barbados",0,58,2019,April,16,16,2,5,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,C,0,No Deposit,493.0,0,Contract,82.0,0,1,Check-Out,2019-04-23,37456,2.0,7,medium_term,574.0,couple,no,0,0,normal,0,41.0
"Leipzig Marriott Hotel Leipzig, Germany",0,155,2018,July,29,14,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,0,Transient,112.0,0,0,Check-Out,2018-07-17,37457,2.0,3,long_term,336.0,couple,no,0,0,peak,0,56.0
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",1,98,2018,December,49,2,0,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,79.2,0,1,Canceled,2018-09-03,37458,2.0,2,long_term,158.4,couple,no,0,0,holiday,0,39.6
"Irvine John Wayne Airport/Orange County Courtyard Irvine, CA",0,150,2019,June,24,16,0,2,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,117.0,0,1,Check-Out,2019-06-18,37459,2.0,2,long_term,234.0,couple,no,0,0,peak,0,58.5
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,41,2018,June,27,27,1,1,2,2.0,0,BB,TMP,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9.0,0,Transient,189.9,1,3,Check-Out,2018-06-29,37460,4.0,2,medium_term,379.8,family/group,no,1,0,peak,1,47.475
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,7,2018,December,53,30,0,2,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,158.0,0,0,Check-Out,2019-01-01,37461,3.0,2,last_minute,316.0,family/group,no,0,0,holiday,0,52.666666666666664
"Renaissance New York Times Square Hotel New York, NY",0,59,2018,February,6,6,2,2,2,0.0,0,BB,AUT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient-Party,62.0,0,0,Check-Out,2018-02-10,37462,2.0,4,medium_term,248.0,couple,no,0,0,normal,0,31.0
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",1,49,2019,June,26,28,0,2,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,83.6,0,1,Canceled,2019-06-21,37463,1.0,2,medium_term,167.2,solo,no,0,0,peak,0,83.6
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,15,2017,August,34,20,0,3,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,14.0,0,Transient,217.0,0,1,Check-Out,2017-08-23,37464,2.0,3,short_term,651.0,couple,no,0,0,peak,0,108.5
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",1,443,2018,April,18,29,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,0,Transient,65.0,0,0,Canceled,2018-01-19,37465,2.0,1,long_term,65.0,couple,no,0,0,normal,0,32.5
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",1,108,2019,May,18,3,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,108.0,0,1,Canceled,2019-04-27,37466,2.0,4,long_term,432.0,couple,no,0,0,normal,0,54.0
"W New York – Union Square New York, NY",0,6,2018,February,6,3,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,A,0,No Deposit,14.0,0,Transient,41.0,0,0,Check-Out,2018-02-04,37467,1.0,1,last_minute,41.0,solo,yes,0,0,normal,0,41.0
"Baltimore BWI Airport Courtyard Linthicum, MD",1,357,2019,August,35,30,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,1,1,1,A,A,6,No Deposit,240.0,0,Transient,142.22,0,2,Canceled,2019-05-15,37468,2.0,4,long_term,568.88,couple,yes,1,0,peak,1,71.11
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",0,3,2017,November,47,20,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,122.0,0,1,Check-Out,2017-11-22,37469,2.0,2,last_minute,244.0,couple,no,0,0,normal,0,61.0
"Fort Worth University Drive Courtyard Fort Worth, TX",0,161,2018,October,41,2,2,3,3,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,7.0,0,Transient,108.8,0,2,Check-Out,2018-10-07,37470,3.0,5,long_term,544.0,family/group,no,0,0,normal,1,36.266666666666666
"Greensboro Courtyard Greensboro, NC",0,135,2018,July,29,15,2,2,3,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,92.28,0,2,Check-Out,2018-07-19,37471,3.0,4,long_term,369.12,family/group,no,0,0,peak,1,30.76
"Orlando Airport Courtyard Orlando, FL",0,62,2018,April,15,9,2,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,118.8,0,0,Check-Out,2018-04-12,37472,2.0,3,medium_term,356.4,couple,no,0,0,normal,0,59.4
"St. Louis Downtown West Courtyard St. Louis, MO",0,4,2019,July,28,10,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,2,A,A,1,No Deposit,14.0,0,Transient,65.0,0,0,Check-Out,2019-07-11,37473,1.0,1,last_minute,65.0,solo,yes,1,0,peak,0,65.0
"Crystal Cove, Barbados Barbados",0,19,2017,December,52,23,0,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,B,B,0,No Deposit,9.0,0,Transient,77.25,0,1,Check-Out,2017-12-24,37474,2.0,1,short_term,77.25,couple,no,0,0,holiday,0,38.625
"Courtyard Las Vegas Convention Center Las Vegas, NV ",1,321,2019,May,19,11,0,3,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,A,B,1,No Deposit,9.0,0,Transient,109.8,0,1,Canceled,2019-03-25,37475,2.0,3,long_term,329.4,couple,no,1,0,normal,0,54.9
"Courtyard Las Vegas Convention Center Las Vegas, NV ",1,19,2019,April,15,15,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,120.0,0,1,Canceled,2019-03-27,37476,2.0,1,short_term,120.0,couple,no,0,0,normal,0,60.0
"Baltimore BWI Airport Courtyard Linthicum, MD",0,2,2017,November,48,27,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,0,Transient,26.0,1,0,Check-Out,2017-11-29,37477,2.0,2,last_minute,52.0,couple,no,0,0,normal,0,13.0
"Crystal Cove, Barbados Barbados",0,5,2018,December,50,7,0,3,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,14.0,0,Transient,119.8,0,1,Check-Out,2018-12-10,37478,2.0,3,last_minute,359.4,couple,no,0,0,holiday,0,59.9
"The Ritz-Carlton, Berlin Berlin, Germany",1,346,2017,September,40,28,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Contract,62.0,0,0,Canceled,2017-01-01,37479,2.0,2,long_term,124.0,couple,no,0,0,normal,0,31.0
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,167,2017,September,38,17,2,8,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,0,Contract,48.88,0,2,Check-Out,2017-09-27,37480,2.0,10,long_term,488.8,couple,no,0,0,normal,1,24.44
"Sheraton Mexico City Maria Isabel Hotel Mexico City, Mexico",0,8,2019,April,16,18,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,11,A,A,0,No Deposit,14.0,0,Transient,48.5,1,0,Check-Out,2019-04-20,37481,1.0,2,short_term,97.0,solo,yes,0,0,normal,0,48.5
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",1,334,2017,September,38,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,2017-07-02,37482,2.0,2,long_term,124.0,couple,no,0,0,normal,0,31.0
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,211,2017,September,38,18,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40.0,0,Contract,63.91,0,0,Check-Out,2017-09-25,37483,2.0,7,long_term,447.37,couple,no,0,0,normal,0,31.955
"Indianapolis Airport Courtyard Indianapolis, IN",0,53,2019,March,11,15,0,3,2,0.0,0,HB,DZA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,102.56,0,3,Check-Out,2019-03-18,37484,2.0,3,medium_term,307.68,couple,no,0,0,normal,1,51.28
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,20,2018,September,38,11,1,0,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,89.0,0,0,Check-Out,2018-09-12,37485,2.0,1,short_term,89.0,couple,no,0,0,normal,0,44.5
"Fort Worth University Drive Courtyard Fort Worth, TX",0,226,2019,March,12,25,2,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314.0,0,Transient-Party,30.24,0,0,Check-Out,2019-03-29,37486,2.0,4,long_term,120.96,couple,no,0,0,normal,0,15.12
"Sheraton Mexico City Maria Isabel Hotel Mexico City, Mexico",0,346,2018,September,38,13,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,115.0,0,1,Check-Out,2018-09-15,37487,2.0,2,long_term,230.0,couple,no,0,0,normal,0,57.5
"Tamarind, Barbados Barbados",1,96,2019,March,11,12,4,7,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,14.0,0,Transient-Party,8.0,0,0,Canceled,2018-12-06,37488,2.0,11,long_term,88.0,couple,no,0,0,normal,0,4.0
"Orlando International Drive/Convention Center Courtyard Orlando, FL",1,78,2019,August,33,13,1,0,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,130.0,0,1,Canceled,2019-06-11,37489,2.0,1,medium_term,130.0,couple,no,0,0,peak,0,65.0
"Sheraton Lima Hotel & Convention Center Lima, Peru",1,56,2019,March,10,8,0,4,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,74.8,0,1,Canceled,2019-01-29,37490,2.0,4,medium_term,299.2,couple,no,0,0,normal,0,37.4
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",0,58,2019,January,2,12,1,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,57.59,0,1,Check-Out,2019-01-16,37491,2.0,4,medium_term,230.36,couple,no,0,0,normal,0,28.795
"Heidelberg Marriott Hotel Heidelberg, Germany",0,33,2019,August,32,9,2,4,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,330.0,0,1,Check-Out,2019-08-15,37492,4.0,6,medium_term,1980.0,family/group,no,0,0,peak,0,82.5
"Albuquerque Airport Courtyard Albuquerque, NM",0,0,2017,October,41,5,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,56.0,0,0,Check-Out,2017-10-06,37493,2.0,1,last_minute,56.0,couple,no,0,0,normal,0,28.0
"Waves, Barbados Barbados",0,73,2017,October,42,17,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,G,0,No Deposit,240.0,0,Transient,70.5,0,2,Check-Out,2017-10-19,37494,2.0,2,medium_term,141.0,couple,no,0,0,normal,1,35.25
"Waves, Barbados Barbados",0,248,2019,June,26,25,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,243.0,0,Contract,72.91,0,0,Check-Out,2019-07-09,37495,2.0,14,long_term,1020.74,couple,no,0,0,peak,0,36.455
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,48,2018,September,38,14,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,281.0,0,Transient-Party,130.0,0,0,Check-Out,2018-09-16,37496,2.0,2,medium_term,260.0,couple,no,0,0,normal,0,65.0
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",0,346,2018,September,38,13,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,115.0,0,1,Check-Out,2018-09-15,37497,2.0,2,long_term,230.0,couple,no,0,0,normal,0,57.5
"Hotel Alfonso XIII, a Luxury Collection Hotel, Seville Seville, Spain",1,27,2018,June,24,9,0,1,2,0.0,0,BB,PRT,Offline TA/TO,Corporate,0,0,0,A,A,0,No Deposit,191.0,0,Transient-Party,120.0,0,0,Canceled,2018-06-02,37498,2.0,1,short_term,120.0,couple,no,0,0,peak,0,60.0
